date,time,DOY,Ta,Pa,RH,Td,Tc,Rn,LWin,LWout,SWin,SWout,PPFD,P_rain,MWS,WD,Ts_1_1_1,Ts_2_1_1,Ts_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,LE,H
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[Pa],[%],[C],[K],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[m/s],[Degrees_past_North],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[W/m^2],[W+1M-2],[W+1M-2]
2014-01-01,11:00:00,1.4582,287.933,100560.0,58.7514,-27.2549,287.933,,,,,,1150.33,0.0,6.81852,33.6449,286.607,285.821,285.174,0.596872,0.670816,0.26509,-2.97822,-1.66072,-1.11119,161.225,202.69
2014-01-01,11:30:00,1.479,287.378,100577.0,65.5507,,287.378,,,,,,1291.6,0.0,6.2035,29.5518,286.69,285.851,285.219,0.595568,0.668574,0.264596,-2.80052,-1.50001,-1.02134,120.11,198.053
2014-01-01,12:00:00,1.4999,288.097,100590.0,57.0015,,288.097,,,,,,1182.11,0.0,6.5049,22.016,286.698,285.754,285.172,0.595323,0.668247,0.264382,-2.54217,-1.28589,-0.909368,133.286,212.773
2014-01-01,12:30:00,1.5207,287.701,100604.0,62.5579,,287.701,,,,,,1496.28,0.0,6.48279,37.0508,286.757,285.76,285.185,0.594307,0.666198,0.263874,-2.20485,-1.02281,-0.782153,153.127,195.561
2014-01-01,13:00:00,1.5415,288.417,100600.0,51.8427,,288.417,,,,,,1606.91,0.0,6.95302,21.7491,286.802,285.763,285.155,0.593475,0.66421,0.263405,-1.80077,-0.718832,-0.640317,292.5,441.57
2014-01-01,13:30:00,1.5624,288.443,100616.0,53.0184,,288.443,,,,,,1625.87,0.0,6.98306,15.7605,287.017,285.8,285.189,0.590275,0.661312,0.262831,-1.27343,-0.394445,-0.476718,186.79,342.508
2014-01-01,14:00:00,1.5832,288.104,100629.0,57.5203,-24.0867,288.104,,,,,,1044.57,0.0,6.4896,24.3922,287.281,285.949,285.278,0.586398,0.656742,0.26199,-0.431468,-0.0625595,-0.291758,127.717,214.813
2014-01-01,14:30:00,1.604,288.15,100636.0,56.2793,-25.806,288.15,,,,,,1783.2,0.0,6.51713,27.7752,287.464,285.987,285.316,0.583652,0.654167,0.261238,0.673033,0.263326,-0.0870686,157.455,344.747
2014-01-01,15:00:00,1.6249,288.081,100650.0,56.7583,,288.081,,,,,,1985.71,0.0,7.34745,30.6481,287.604,286.013,285.325,0.581469,0.651961,0.260651,1.76203,0.596604,0.108258,195.067,349.772
2014-01-01,15:30:00,1.6457,287.861,100669.0,54.2735,,287.861,,,,,,1871.66,0.0,7.54861,42.3483,287.803,286.169,285.367,0.578491,0.647541,0.259979,2.77949,0.969626,0.290858,206.643,342.405
2014-01-01,16:00:00,1.6665,287.94,100674.0,56.8001,-24.9667,287.94,,,,,,1310.04,0.0,6.56394,42.1823,288.089,285.967,285.403,0.574338,0.64896,0.25936,3.9004,1.52446,0.456049,160.521,299.343
2014-01-01,16:30:00,1.6873,287.705,100673.0,56.6805,,287.705,,,,,,923.113,0.0,6.40979,40.3185,288.4,286.282,285.454,0.569832,0.64247,0.258684,5.24519,2.27924,0.6107,88.1451,147.687
2014-01-01,17:00:00,1.7082,287.559,100672.0,57.545,-26.1213,287.559,,,,,,608.796,0.0,5.60534,36.6463,288.667,286.513,285.508,0.565973,0.637417,0.257962,6.77326,3.02143,0.755911,92.5578,104.75
2014-01-01,17:30:00,1.729,287.619,100673.0,56.302,-28.2988,287.619,,,,,,649.272,0.0,4.99776,10.291,288.834,286.557,285.547,0.563478,0.635524,0.257192,8.197,3.54978,0.915498,135.866,123.344
2014-01-01,18:00:00,1.7498,287.456,100677.0,58.6598,-25.0964,287.456,,,,,,378.366,0.0,4.92303,9.56869,288.907,286.62,285.582,0.562205,0.633366,0.256544,9.2151,3.8115,1.04436,42.9322,71.7151
2014-01-01,18:30:00,1.7707,286.665,100698.0,62.6344,-23.7407,286.665,,,,,,135.6,0.0,5.00681,21.7792,288.955,286.678,285.634,0.561253,0.631227,0.255789,9.73401,3.85672,1.16303,14.663,27.5366
2014-01-01,19:00:00,1.7915,285.171,100741.0,83.0042,-21.371,285.171,,,,,,143.503,0.0,4.62247,36.5302,289.017,286.805,285.737,0.560392,0.628168,0.255324,9.89833,3.77305,1.25294,-35.7651,-128.936
2014-01-01,19:30:00,1.8123,284.423,100746.0,85.9305,,284.423,,,,,,104.199,0.0,2.94647,53.0661,288.956,286.77,285.729,0.561031,0.627912,0.2552,9.77869,3.62098,1.28676,4.54441,-15.3542
2014-01-01,20:00:00,1.8332,284.522,100761.0,86.6789,-28.8427,284.522,,,,,,50.9639,0.0,1.74063,26.4568,288.845,286.713,285.694,0.562362,0.628182,0.255128,9.41441,3.37536,1.2508,3.62481,-5.02591
2014-01-01,20:30:00,1.854,284.491,100799.0,87.313,,284.491,,,,,,9.66468,0.0,2.15762,21.3476,288.742,286.667,285.667,0.56362,0.628432,0.255038,8.86716,3.03256,1.14536,7.37159,-8.1721
2014-01-01,21:00:00,1.8748,284.064,100810.0,87.8835,,284.064,,,,,,1.45063,0.0,2.38298,28.5744,288.661,286.656,285.654,0.564612,0.62817,0.255138,8.20294,2.6413,0.996682,1.09713,-11.7937
2014-01-01,21:30:00,1.8956,283.866,100838.0,89.3352,,283.866,,,,,,0.0362952,0.0,2.83105,58.6574,288.571,286.619,285.638,0.565684,0.628294,0.255212,7.47969,2.23402,0.826186,2.33192,-11.4604
2014-01-01,22:00:00,1.9165,283.658,100887.0,90.6656,,283.658,,,,,,0.0235378,0.0,2.87052,74.9718,288.479,286.586,285.618,0.566849,0.628295,0.255255,6.73078,1.82731,0.643878,0.458082,-9.25269
2014-01-01,22:30:00,1.9373,283.585,100950.0,92.2378,,283.585,,,,,,0.0233188,0.0,3.07148,68.8509,288.385,286.546,285.598,0.568056,0.628403,0.25529,5.97422,1.42904,0.454894,0.0202467,-6.99896
2014-01-01,23:00:00,1.9581,283.431,100994.0,93.048,,283.431,,,,,,0.0131999,0.0,3.03877,71.8103,288.284,286.507,285.571,0.569321,0.628546,0.255246,5.22722,1.04592,0.262836,1.81904,-4.7391
2014-01-01,23:30:00,1.979,283.616,101018.0,87.2092,,283.616,,,,,,0.0270604,0.0,2.52202,71.5335,288.175,286.46,285.537,0.570679,0.628849,0.255144,4.49333,0.676624,0.0696416,-0.697401,-3.31647
2014-01-02,00:00:00,2.0,283.349,101046.0,85.7882,,283.349,,,,,,0.0121006,0.0,2.15405,79.546,288.085,286.431,285.517,0.571807,0.628612,0.254981,3.77728,0.322121,-0.118838,0.850915,-0.474441
2014-01-02,00:30:00,2.0208,282.898,101082.0,85.9821,,282.898,,,,,,0.0165015,0.0,1.87355,53.1649,287.982,286.382,285.484,0.573097,0.628877,0.254927,3.08146,-0.0117691,-0.320204,-0.530284,0.910256
2014-01-02,01:00:00,2.0416,282.76,101093.0,88.2113,,282.76,,,,,,0.0195828,0.0,1.1931,13.7417,287.877,286.345,285.447,0.574447,0.628977,0.254803,2.40771,-0.339305,-0.525051,0.374283,-3.16629
2014-01-02,01:30:00,2.0624,282.053,101109.0,87.2433,,282.053,,,,,,0.0127625,0.0,1.30007,37.2327,287.774,286.28,285.411,0.575735,0.629426,0.254636,1.7491,-0.67296,-0.742791,1.11287,-1.7989
2014-01-02,02:00:00,2.0833,281.753,101131.0,88.0456,,281.753,,,,,,0.0288276,0.0,1.95659,58.4055,287.665,286.234,285.37,0.577104,0.629727,0.254434,1.10115,-1.01062,-0.980816,-0.577816,-2.63118
2014-01-02,02:30:00,2.1041,281.682,101144.0,85.5281,,281.682,,,,,,0.0363122,0.0,2.53592,66.621,287.533,286.16,285.307,0.578785,0.630435,0.254375,0.458718,-1.35807,-1.24274,1.42595,-1.722
2014-01-02,03:00:00,2.1249,281.337,101165.0,86.0221,,281.337,,,,,,0.020248,0.0,1.69604,53.6688,287.393,286.079,285.232,0.580583,0.631213,0.254345,-0.174314,-1.72379,-1.51984,-0.0540515,4.14569
2014-01-02,03:30:00,2.1458,281.268,101172.0,88.9314,,281.268,,,,,,0.0217895,0.0,1.21235,54.3972,287.269,286.003,285.17,0.582162,0.631715,0.254431,-0.815912,-2.10337,-1.82153,-0.676631,-1.44972
2014-01-02,04:00:00,2.1666,281.145,101178.0,89.8095,,281.145,,,,,,0.0224511,0.0,0.639632,73.2863,287.145,285.93,285.101,0.583753,0.632215,0.254369,-1.4552,-2.48285,-2.13337,0.149053,-1.40634
2014-01-02,04:30:00,2.1874,280.329,101198.0,92.0375,,280.329,,,,,,0.0134273,0.0,0.595672,55.1909,287.018,285.86,285.027,0.585374,0.632844,0.254385,-2.08374,-2.85774,-2.46692,2.30454,-2.76684
2014-01-02,05:00:00,2.2082,280.045,101208.0,92.9611,,280.045,,,,,,0.0944374,0.0,0.678528,186.642,286.889,285.776,284.951,0.587036,0.63364,0.254357,-2.6993,-3.23333,-2.7769,0.334408,-7.33218
2014-01-02,05:30:00,2.2291,280.277,101232.0,93.9113,,280.277,,,,,,5.03216,0.0,0.50419,148.631,286.759,285.695,284.865,0.588704,0.634096,0.254341,-3.30441,-3.60894,-3.07105,0.387022,-0.754909
2014-01-02,06:00:00,2.2499,280.295,101272.0,93.598,,280.295,,,,,,44.177,0.0,1.45294,82.3824,286.607,285.594,284.762,0.590658,0.635125,0.254334,-3.90166,-3.98288,-3.39812,1.06195,-10.2059
2014-01-02,06:30:00,2.2707,280.048,101295.0,91.2949,,280.048,,,,,,85.757,0.0,1.67464,77.7166,286.421,285.463,284.623,0.593094,0.636617,0.254494,-4.49334,-4.35842,-3.70227,-0.0998249,-4.65365
2014-01-02,07:00:00,2.2916,280.286,101342.0,86.2609,,280.286,,,,,,351.048,0.0,1.78677,94.7453,286.272,285.351,284.512,0.595067,0.637836,0.254581,-5.07945,-4.72983,-4.00604,0.497924,-3.42666
2014-01-02,07:30:00,2.3124,281.593,101362.0,85.8759,,281.593,,,,,,508.356,0.0,1.51788,57.3894,286.132,285.241,284.398,0.596903,0.639105,0.25467,-5.64313,-5.07253,-4.25532,-2.84077,1.1216
2014-01-02,08:00:00,2.3332,283.068,101397.0,76.9809,,283.068,,,,,,732.605,0.0,2.26566,65.9246,285.982,285.115,284.277,0.598922,0.640589,0.254833,-6.15837,-5.36244,-4.47354,15.7788,35.101
2014-01-02,08:30:00,2.3541,283.588,101434.0,68.3157,,283.588,,,,,,949.612,0.0,3.35403,64.0401,285.856,285.004,284.166,0.600593,0.641704,0.254956,-6.60742,-5.58105,-4.65037,100.448,35.7937
2014-01-02,09:00:00,2.3749,283.573,101454.0,68.7514,,283.573,,,,,,685.822,0.0,3.97703,71.0304,285.783,284.936,284.097,0.601593,0.642021,0.254955,-6.97485,-5.72044,-4.75314,97.3822,49.1965
2014-01-02,09:30:00,2.3957,283.789,101452.0,69.2727,,283.789,,,,,,964.124,0.0,4.23605,54.5384,285.707,284.869,284.02,0.602548,0.642663,0.255006,-7.2504,-5.77458,-4.78189,92.2527,95.5937
2014-01-02,10:00:00,2.4165,284.508,101432.0,,,284.508,,,,,,1514.52,0.0,5.84286,51.8932,285.658,284.807,283.953,0.603134,0.642946,0.254982,-7.41915,-5.73442,-4.76938,138.289,207.391
2014-01-02,10:30:00,2.4374,285.192,101436.0,59.2419,,285.192,,,,,,1181.06,0.0,4.28265,58.0118,285.658,284.777,283.925,0.603013,0.642362,0.254797,-7.46523,-5.60731,-4.66045,109.23,204.268
2014-01-02,11:00:00,2.4582,285.495,101426.0,57.5082,,285.495,,,,,,1485.49,0.0,4.55931,38.5328,285.621,284.797,283.879,0.603364,0.640934,0.254644,-7.38274,-5.40436,-4.52997,156.406,256.846
2014-01-02,11:30:00,2.479,285.72,101419.0,57.1653,,285.72,,,,,,1296.51,0.0,5.03034,31.4366,285.61,284.691,283.825,0.603324,0.641195,0.254426,-7.17964,-5.13599,-4.33705,156.544,216.332
2014-01-02,12:00:00,2.4999,286.279,101430.0,52.8995,,286.279,,,,,,1566.01,0.0,5.85449,39.2247,285.636,284.656,283.78,0.602765,0.640418,0.254016,-6.86989,-4.80457,-4.11715,198.254,368.448
